reference_sku,reference_name,action,target_family,target_product_id,new_product_needed,new_variant_needed,category,brand,model,holder,diameter,grit,proposed_name,proposed_variant_code,proposed_image_url,proposed_price,proposed_stock,proposed_active_state,safe_to_insert,reason
JOT-801-FG-008,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,skip_existing_variant,801,7a8be6b1-917e-4507-9a0b-08042bfb124b,false,false,Elmas Frezler,JOTA,801,FG,008,,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,JOT-801-FG-008,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f83e41e9-8f2d-4f48-a9be-fedcd1252038/image_1950.webp,,0,inactive_variant,false,variant_already_exists:21b838b6-cec0-47eb-b314-406aa4743da4
JOT-801-FG-021,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,skip_existing_variant,801,7a8be6b1-917e-4507-9a0b-08042bfb124b,false,false,Elmas Frezler,JOTA,801,FG,021,,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,JOT-801-FG-021,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f83e41e9-8f2d-4f48-a9be-fedcd1252038/image_1950.webp,,0,inactive_variant,false,variant_already_exists:356e39df-7644-4a8d-b568-ee4ee084501d
JOT-801XL-FG-014,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,skip_existing_variant,801,7a8be6b1-917e-4507-9a0b-08042bfb124b,false,false,Elmas Frezler,JOTA,801XL,FG,014,,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,JOT-801XL-FG-014,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f83e41e9-8f2d-4f48-a9be-fedcd1252038/image_1950.webp,,0,inactive_variant,false,variant_already_exists:d85f6387-769d-4b7b-8619-8f84698723b0
JOT-801XL-FG-018,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,skip_existing_variant,801,7a8be6b1-917e-4507-9a0b-08042bfb124b,false,false,Elmas Frezler,JOTA,801XL,FG,018,,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,JOT-801XL-FG-018,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f83e41e9-8f2d-4f48-a9be-fedcd1252038/image_1950.webp,,0,inactive_variant,false,variant_already_exists:6726754d-24ff-408d-950b-04437b05c327
JOT-833-EFG-023,Jota 833EF Elmas Frez - Sarı Extra İnce Armut / Torpido Elmas Frez,skip_existing_variant,833,08fa8160-d80b-4e28-9df9-19ddfc787401,false,false,Elmas Frezler,JOTA,833,FG,023,EF,Jota 833EF Elmas Frez - Sarı Extra İnce Armut / Torpido Elmas Frez,JOT-833-EFG-023,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/0939178e-5556-4f96-8f5e-246fe574890f/image_1950.webp,,0,inactive_variant,false,variant_already_exists:70b6337a-e80c-425d-bcb4-d9c2a9a9cf35
JOT-83O-EFFG-018,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,skip_existing_variant,830,b8eefd24-be05-450d-ae81-4cbc02b8b732,false,false,Elmas Frezler,JOTA,83O,FG,018,EF,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,JOT-83O-EFFG-018,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/1edb1ac8-868d-4b0f-a1de-514ce74ecc21/image_1950.webp,,0,inactive_variant,false,variant_already_exists:e81d267f-b278-4f0b-afb4-ef26cfa72a0b
JOT-83O-EFFG-021,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,skip_existing_variant,830,b8eefd24-be05-450d-ae81-4cbc02b8b732,false,false,Elmas Frezler,JOTA,83O,FG,021,EF,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,JOT-83O-EFFG-021,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/1edb1ac8-868d-4b0f-a1de-514ce74ecc21/image_1950.webp,,0,inactive_variant,false,variant_already_exists:f0e81071-c28c-4be2-aa58-69ef96ef10db
JOT-83O-EFFG-023,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,skip_existing_variant,830,b8eefd24-be05-450d-ae81-4cbc02b8b732,false,false,Elmas Frezler,JOTA,83O,FG,023,EF,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,JOT-83O-EFFG-023,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/1edb1ac8-868d-4b0f-a1de-514ce74ecc21/image_1950.webp,,0,inactive_variant,false,variant_already_exists:16d83a4c-3d65-4fd1-864d-59dee797c819
