product_id,product_name,product_group_code,category,variant_id,variant_code,manufacturer_ref,entity_type,image_url,issue_type,width,height,content_type,has_alpha,recommended_action
7c16ba53-a2d7-4450-9317-b58eed3da95f,837L Hızlı Preparasyon Frez Paketi,974a2aff-2ef8-491f-a411-c2dc6de57a5d,setler-paketler,174fec26-df3d-4b50-b6e3-8bdc129cca99,83d4976a-9745-4f8e-8271-34160f6db4dd,,variant,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/c0f7430e-0ae3-478c-a9af-2c0e58dece25/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
3ac2b979-a195-41a0-b6f7-2547fb884235,848 Konik Elmas Paketi Mavi,ae95df46-0340-4c47-81a0-950c33c249db,setler-paketler,,,,product,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/a808750a-935f-433e-91da-a7c098381a54/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
3ac2b979-a195-41a0-b6f7-2547fb884235,848 Konik Elmas Paketi Mavi,ae95df46-0340-4c47-81a0-950c33c249db,setler-paketler,ee110770-f733-4663-8d6e-c214866be861,2f2cc412-3a69-4679-a219-7f76f4347364,,variant,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/a808750a-935f-433e-91da-a7c098381a54/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
9ae8aa84-c910-4a14-b39a-93a339d9bffa,850 Elmas Frez Paketi,46b4ecbf-af35-4398-bf09-54bab0dc6229,setler-paketler,,,,product,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/54bbe7a9-4ee7-490b-9624-08fa43b40cb7/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
9ae8aa84-c910-4a14-b39a-93a339d9bffa,850 Elmas Frez Paketi,46b4ecbf-af35-4398-bf09-54bab0dc6229,setler-paketler,335e9355-df58-4097-a265-da5c22bdffbd,af3e6936-1810-4faf-88af-6ce14ba3d93d,,variant,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/54bbe7a9-4ee7-490b-9624-08fa43b40cb7/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
754a7e0c-2110-4e31-b5c3-f1efe0d3aef9,852 Elmas Frez Paketi,27bbb4b4-cf03-488d-bdd2-545643110f41,setler-paketler,,,,product,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/6ec06aac-0f7f-4b22-9014-f48ce0c7ce1b/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
754a7e0c-2110-4e31-b5c3-f1efe0d3aef9,852 Elmas Frez Paketi,27bbb4b4-cf03-488d-bdd2-545643110f41,setler-paketler,5d03a672-d81f-420d-9904-3a20114124d1,15f701ad-15e7-48a3-a4f3-79e8ea908d01,,variant,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/6ec06aac-0f7f-4b22-9014-f48ce0c7ce1b/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
5f6d8df3-8d7b-4917-a94f-b4763db8e067,859 Elmas Frez Paketi,a46812e4-7710-46f5-8e08-eb0256307cbc,setler-paketler,,,,product,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/257a8cf2-61e9-49bd-aa25-63d61c57863c/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
5f6d8df3-8d7b-4917-a94f-b4763db8e067,859 Elmas Frez Paketi,a46812e4-7710-46f5-8e08-eb0256307cbc,setler-paketler,90009492-053a-454d-90a6-0265b49a1ffb,250f7b8a-30de-42da-8809-847f3cb1a238,,variant,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/257a8cf2-61e9-49bd-aa25-63d61c57863c/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
d90f6a0f-837a-42ef-96cc-e61037f16ec5,862 Elmas Frez Paketi,08afc515-b6cc-4aba-abe0-711ad04a87ae,setler-paketler,,,,product,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d3b1c04c-acc4-4136-b1e0-fd3b7ff23778/image_1950.webp,duplicate_image_url,1950,1950,image/webp,false,Review whether this shared image is intentional for a grouped family.
