csv_sku,csv_product_name,csv_price,source_file,match_source,db_variant_code,db_manufacturer_ref,db_product_group_code,old_price,new_price
852.FG.016,JOTA Elmas Frez 852.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-FG-016,,4cfa39e0-3f40-4dc9-922d-db5588a7f169,800,1000
852.FG.018,JOTA Elmas Frez 852.FG.018 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-FG-018,,4cfa39e0-3f40-4dc9-922d-db5588a7f169,800,1000
852F.FG.012,JOTA Elmas Frez 852F.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-FFG-012,,c6a2130a-ca0c-4fb3-bbf1-f4c8906d0d83,650,1000
852F.FG.014,JOTA Elmas Frez 852F.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-FFG-014,,c6a2130a-ca0c-4fb3-bbf1-f4c8906d0d83,650,1000
852F.FG.016,JOTA Elmas Frez 852F.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-FFG-016,,c6a2130a-ca0c-4fb3-bbf1-f4c8906d0d83,650,1000
852F.FG.018,JOTA Elmas Frez 852F.FG.018 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-FFG-018,,c6a2130a-ca0c-4fb3-bbf1-f4c8906d0d83,650,1000
852G.FG.012,JOTA Elmas Frez 852G.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-GFG-012,,cfe11a9d-15dd-40cf-a0d8-35867953250c,650,1000
852G.FG.014,JOTA Elmas Frez 852G.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-GFG-014,,cfe11a9d-15dd-40cf-a0d8-35867953250c,650,1000
852G.FG.016,JOTA Elmas Frez 852G.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-GFG-016,,cfe11a9d-15dd-40cf-a0d8-35867953250c,650,1000
852G.FG.018,JOTA Elmas Frez 852G.FG.018 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-GFG-018,,cfe11a9d-15dd-40cf-a0d8-35867953250c,650,1000
852SG.FG.014,JOTA Elmas Frez 852SG.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-SGFG-014,,704a6815-d06c-4a83-971d-67e7122f75e7,650,1000
852SG.FG.016,JOTA Elmas Frez 852SG.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-SGFG-016,,704a6815-d06c-4a83-971d-67e7122f75e7,650,1000
852SG.FG.018,JOTA Elmas Frez 852SG.FG.018 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-852-SGFG-018,,704a6815-d06c-4a83-971d-67e7122f75e7,650,1000
859.FG.010,JOTA Elmas Frez 859.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-FG-010,,d460513c-7dce-40ca-abfb-036572f6e535,650,1000
859.FG.012,JOTA Elmas Frez 859.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-FG-012,,d460513c-7dce-40ca-abfb-036572f6e535,650,1000
859.FG.014,JOTA Elmas Frez 859.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-FG-014,,d460513c-7dce-40ca-abfb-036572f6e535,650,1000
859EF.FG.010,JOTA Elmas Frez 859EF.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-EFFG-010,,e8299b5b-aed6-4d0a-84af-7cbb47b12132,650,1000
859EF.FG.012,JOTA Elmas Frez 859EF.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-EFFG-012,,e8299b5b-aed6-4d0a-84af-7cbb47b12132,650,1000
859EF.FG.014,JOTA Elmas Frez 859EF.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-EFFG-014,,e8299b5b-aed6-4d0a-84af-7cbb47b12132,650,1000
859F.FG.010,JOTA Elmas Frez 859F.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-FFG-010,,ccf12fd8-5c2d-4a0d-82c2-7acd5e910193,650,1000
859F.FG.012,JOTA Elmas Frez 859F.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-FFG-012,,ccf12fd8-5c2d-4a0d-82c2-7acd5e910193,650,1000
859F.FG.014,JOTA Elmas Frez 859F.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-FFG-014,,ccf12fd8-5c2d-4a0d-82c2-7acd5e910193,650,1000
859G.FG.012,JOTA Elmas Frez 859G.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-GFG-012,,7d750a0e-f3ad-404e-9a00-c11d5eeabbff,650,1000
859G.FG.014,JOTA Elmas Frez 859G.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859-GFG-014,,7d750a0e-f3ad-404e-9a00-c11d5eeabbff,650,1000
859L.FG.010,JOTA Elmas Frez 859L.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859L-FG-010,,0a67389e-1984-4abc-bac0-436744dd382a,650,1000
859L.FG.012,JOTA Elmas Frez 859L.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859L-FG-012,859L.FG.012,jota-859l-uzun-alev-elmas-frez,275,1000
859L.FG.014,JOTA Elmas Frez 859L.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859L-FG-014,,0a67389e-1984-4abc-bac0-436744dd382a,650,1000
859LF.FG.010,JOTA Elmas Frez 859LF.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859L-FFG-010,,bbac8ea2-9a6d-408d-81f2-37b758c0e464,650,1000
859LF.FG.012,JOTA Elmas Frez 859LF.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859L-FFG-012,,bbac8ea2-9a6d-408d-81f2-37b758c0e464,650,1000
859LF.FG.014,JOTA Elmas Frez 859LF.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-859L-FFG-014,,bbac8ea2-9a6d-408d-81f2-37b758c0e464,650,1000
862.FG.010,JOTA Elmas Frez 862.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-FG-010,,4ba3d5a1-8ad9-4a7c-916e-6c53da848b7f,800,1000
862.FG.012,JOTA Elmas Frez 862.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-FG-012,,4ba3d5a1-8ad9-4a7c-916e-6c53da848b7f,800,1000
862EF.FG.010,JOTA Elmas Frez 862EF.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-EFFG-010,,380e49b2-30d7-4de1-8502-c93bc7a48159,650,1000
862EF.FG.012,JOTA Elmas Frez 862EF.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-EFFG-012,,380e49b2-30d7-4de1-8502-c93bc7a48159,650,1000
862EF.FG.014,JOTA Elmas Frez 862EF.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-EFFG-014,,380e49b2-30d7-4de1-8502-c93bc7a48159,650,1000
862F.FG.010,JOTA Elmas Frez 862F.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-FFG-010,,abde14cf-a694-42d2-be19-7503dc9c1fb0,650,1000
862F.FG.012,JOTA Elmas Frez 862F.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-FFG-012,,abde14cf-a694-42d2-be19-7503dc9c1fb0,650,1000
862F.FG.014,JOTA Elmas Frez 862F.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-FFG-014,,abde14cf-a694-42d2-be19-7503dc9c1fb0,650,1000
862G.FG.010,JOTA Elmas Frez 862G.FG.010 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-GFG-010,,4752ab7e-126f-43a8-962b-7808dbaa472c,650,1000
862G.FG.012,JOTA Elmas Frez 862G.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-GFG-012,,4752ab7e-126f-43a8-962b-7808dbaa472c,650,1000
862G.FG.014,JOTA Elmas Frez 862G.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-862-GFG-014,,4752ab7e-126f-43a8-962b-7808dbaa472c,650,1000
863.FG.012,JOTA Elmas Frez 863.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-863-FG-012,,9cbc705f-f55f-466a-81ed-968815f204ae,800,1000
863EF.FG.012,JOTA Elmas Frez 863EF.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-863-EFFG-012,,6564ae23-39fe-4dbc-9caa-63effd51f66f,650,1000
863F.FG.012,JOTA Elmas Frez 863F.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-863-FFG-012,,4a624374-cd8e-4906-a6fc-20e47fe150cd,650,1000
863G.FG.012,JOTA Elmas Frez 863G.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-863-GFG-012,,133803e3-4d3f-4ecf-a4d2-54fde4a208df,650,1000
863G.FG.016,JOTA Elmas Frez 863G.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-863-GFG-016,,133803e3-4d3f-4ecf-a4d2-54fde4a208df,650,1000
863SG.FG.016,JOTA Elmas Frez 863SG.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-863-SGFG-016,,f026da9c-96ab-4c2f-bf68-ea31b921fe12,800,1000
